джЏ «б»Ўжб…,гнЏ«ѕ «бг»«—«…,«бЁ—ё,«бд нћ…
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,16:30,«б»Ќ—нд - г’—,22 - 26
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,16:30,’—»н« - «б«—ћд нд,28 - 22
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,16:30,«бћ“«∆— - «бгџ—»,27 - 28
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,19:00,я—ж« н« - »бћня«,34 - 26
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,19:00,ёЎ— - «бд—жнћ,17 - 30
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,19:00,гёѕждн« -  жд”,28 - 33
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,21:30,√г—ня« - «бѕдг«—я,26 - 33
»Ўжб… «бЏ«бг бя—… «бнѕ бб—ћ«б,21:30,ежбдѕ« - √бг«дн«,26 - 33
«бѕж—н «бг’—н,20:30,«б“г«бя - «б√ебн,0 - 3
«бѕж—н «б≈дћбн“н,14:30,бнЁ—»жб -  ‘нб”н,0 - 0
«бѕж—н «б≈дћбн“н,17:00,бн” — ”н н - »—«н жд,2 - 2
«бѕж—н «б≈дћбн“н,17:00,”«жЋ«г» жд - «” жд Ёнб«,0 - 1
«бѕж—н «б≈дћбн“н,17:00,»ж—дгжЋ - дж ндће«г Ёж—” ,1 - 1
«бѕж—н «б≈дћбн“н,17:00,ж”  е«г нжд«н ѕ - «нЁ— жд,2 - 0
«бѕж—н «б≈дћбн“н,19:30,я—н” «б »«б«” - днжя«”б,0 - 0
«бѕж—н «б≈”»«дн,15:00,—«нж Ё«ння«дж - —н«б ”ж”нѕ«ѕ,0 - 2
«бѕж—н «б≈”»«дн,17:15,«”»«днжб - —н«б »н н”,1 - 0
«бѕж—н «б≈”»«дн,19:30,« б няж гѕ—нѕ - »бѕ «бжбнѕ,3 - 0
«бѕж—н «б≈”»«дн,22:00,«‘»нбн… - ё«ѕ‘,1 - 0
«бѕж—н «б≈нЎ«бн,16:00,енб«” Ён—жд« - бн ‘н,2 - 0
«бѕж—н «б≈нЎ«бн,19:00,”«бн—дн «д« - д«»жбн,0 - 2
«бѕж—н «б≈нЎ«бн,21:45,Ёнж—д нд« -  ж—ндж,0 - 1
«бѕж—н «б√бг«дн,16:30,¬. Ё—«дяЁж—  - ‘«бяе,3 - 0
«бѕж—н «б√бг«дн,16:30,нжднжд »—бнд - ежЁде«нг,3 - 1
«бѕж—н «б√бг«дн,16:30,»жќжг - ен— « »—бнд,3 - 1
«бѕж—н «б√бг«дн,16:30,‘ ж ћ«—  - г«нд“,1 - 1
«бѕж—н «б√бг«дн,16:30,ЁжбЁ”»ж—ћ - Ё—«н»ж—ћ,6 - 0
«бѕж—н «б√бг«дн,19:30,яжбд - Ён—ѕ— »—нгд,7 - 1
«бѕж—н «б —ян,15:00,ё«”г »«‘« - ≈”Ўд»жб »«‘«я‘ен—,1 - 3
«бѕж—н «б —ян,18:00,ћ«б« « ”—«н - «дЎ«бн« ”»ж—,2 - 1
«бѕж—н «б”Џжѕн,17:00,«бжЌѕ… - «бЎ№№«∆н,1 - 0
«бѕж—н «б»— џ«бн,17:30,»«яж” Ён—н—« - ”»ж— ндћ »—«ћ«,1 - 2
«бѕж—н «б»— џ«бн,20:00,”«д « яб«—« - »дЁня«,0 - 3
«бѕж—н «б»— џ«бн,22:30,Ён ж—н« ћнг«—н‘ - »ж— ж,0 - 1
«бѕж—н «б жд”н,15:00,еб«б ‘«»… - «б —ћм «б—н«÷н,0 - 2
«бѕж—н «б жд”н,15:00,«бдћг «б”«Ќбм - √гб Ќг«г ”ж”…,2 - 1
«бѕж—н «б жд”н,15:00,«б»д“— н - « Ќ«ѕ  Ў«жнд,1 - 1
«бѕж—н «б жд”н,15:00,«бгбЏ» «б жд”н - «б’Ё«ё”№№№№н,0 - 1
«бѕж—н «бгџ—»н,17:00,«б—ћ«Ѕ «б»н÷«жн - «бћн‘ «бгбян,1 - 0
«бѕж—н «бгџ—»н,19:15,де÷… »—я«д - «бѕЁ«Џ «бћѕнѕн,1 - 0
«бѕж—н «бгџ—»н,21:30,«бгџ—» «бЁ«”н - Ќ”дн… «џ«ѕн—,1 - 1
